16
0	0 0
1	0 1	2,1
3	1 2	2,0 2,1
5	0 2	1,2 2,1
6	1 2	1,2 2,0
7	1 3	1,2 2,0 2,1
10	1 2	1,0 2,0
11	1 3	1,0 2,0 2,1
15	1 4	1,0 1,2 2,0 2,1
21	1 3	0,2 1,2 2,1
23	1 4	0,2 1,2 2,0 2,1
25	1 3	0,2 1,0 2,1
27	1 4	0,2 1,0 2,0 2,1
30	1 4	0,2 1,0 1,2 2,0
31	1 5	0,2 1,0 1,2 2,0 2,1
63	1 6	0,1 0,2 1,0 1,2 2,0 2,1
