156
0	0 0
1	0 1	4,5
3	0 2	3,5 4,5
7	0 3	2,5 3,5 4,5
15	0 4	1,5 2,5 3,5 4,5
31	1 5	0,5 1,5 2,5 3,5 4,5
35	0 3	3,4 3,5 4,5
36	0 2	2,5 3,4
37	0 3	2,5 3,4 4,5
39	0 4	2,5 3,4 3,5 4,5
44	0 3	1,5 2,5 3,4
45	0 4	1,5 2,5 3,4 4,5
47	0 5	1,5 2,5 3,4 3,5 4,5
60	0 4	0,5 1,5 2,5 3,4
61	1 5	0,5 1,5 2,5 3,4 4,5
63	1 6	0,5 1,5 2,5 3,4 3,5 4,5
102	0 4	2,4 2,5 3,4 3,5
103	0 5	2,4 2,5 3,4 3,5 4,5
106	0 4	1,5 2,4 3,4 3,5
107	0 5	1,5 2,4 3,4 3,5 4,5
110	0 5	1,5 2,4 2,5 3,4 3,5
111	0 6	1,5 2,4 2,5 3,4 3,5 4,5
120	0 4	0,5 1,5 2,4 3,4
121	1 5	0,5 1,5 2,4 3,4 4,5
122	1 5	0,5 1,5 2,4 3,4 3,5
123	1 6	0,5 1,5 2,4 3,4 3,5 4,5
126	1 6	0,5 1,5 2,4 2,5 3,4 3,5
127	1 7	0,5 1,5 2,4 2,5 3,4 3,5 4,5
238	0 6	1,4 1,5 2,4 2,5 3,4 3,5
239	0 7	1,4 1,5 2,4 2,5 3,4 3,5 4,5
246	1 6	0,5 1,4 2,4 2,5 3,4 3,5
247	1 7	0,5 1,4 2,4 2,5 3,4 3,5 4,5
254	1 7	0,5 1,4 1,5 2,4 2,5 3,4 3,5
255	1 8	0,5 1,4 1,5 2,4 2,5 3,4 3,5 4,5
510	1 8	0,4 0,5 1,4 1,5 2,4 2,5 3,4 3,5
511	1 9	0,4 0,5 1,4 1,5 2,4 2,5 3,4 3,5 4,5
615	0 6	2,3 2,4 2,5 3,4 3,5 4,5
616	0 4	1,5 2,3 2,4 3,4
617	0 5	1,5 2,3 2,4 3,4 4,5
619	0 6	1,5 2,3 2,4 3,4 3,5 4,5
623	0 7	1,5 2,3 2,4 2,5 3,4 3,5 4,5
632	0 5	0,5 1,5 2,3 2,4 3,4
633	1 6	0,5 1,5 2,3 2,4 3,4 4,5
635	1 7	0,5 1,5 2,3 2,4 3,4 3,5 4,5
639	1 8	0,5 1,5 2,3 2,4 2,5 3,4 3,5 4,5
655	0 6	1,4 1,5 2,3 2,5 3,5 4,5
656	0 3	0,5 1,4 2,3
657	0 4	0,5 1,4 2,3 4,5
659	1 5	0,5 1,4 2,3 3,5 4,5
662	0 5	0,5 1,4 2,3 2,5 3,5
663	1 6	0,5 1,4 2,3 2,5 3,5 4,5
671	1 7	0,5 1,4 1,5 2,3 2,5 3,5 4,5
684	0 5	1,4 1,5 2,3 2,5 3,4
685	0 6	1,4 1,5 2,3 2,5 3,4 4,5
687	0 7	1,4 1,5 2,3 2,5 3,4 3,5 4,5
691	1 6	0,5 1,4 2,3 3,4 3,5 4,5
692	1 5	0,5 1,4 2,3 2,5 3,4
693	1 6	0,5 1,4 2,3 2,5 3,4 4,5
694	1 6	0,5 1,4 2,3 2,5 3,4 3,5
695	1 7	0,5 1,4 2,3 2,5 3,4 3,5 4,5
700	1 6	0,5 1,4 1,5 2,3 2,5 3,4
701	1 7	0,5 1,4 1,5 2,3 2,5 3,4 4,5
703	1 8	0,5 1,4 1,5 2,3 2,5 3,4 3,5 4,5
750	0 7	1,4 1,5 2,3 2,4 2,5 3,4 3,5
751	0 8	1,4 1,5 2,3 2,4 2,5 3,4 3,5 4,5
758	1 7	0,5 1,4 2,3 2,4 2,5 3,4 3,5
759	1 8	0,5 1,4 2,3 2,4 2,5 3,4 3,5 4,5
760	1 6	0,5 1,4 1,5 2,3 2,4 3,4
761	1 7	0,5 1,4 1,5 2,3 2,4 3,4 4,5
762	1 7	0,5 1,4 1,5 2,3 2,4 3,4 3,5
763	1 8	0,5 1,4 1,5 2,3 2,4 3,4 3,5 4,5
766	1 8	0,5 1,4 1,5 2,3 2,4 2,5 3,4 3,5
767	1 9	0,5 1,4 1,5 2,3 2,4 2,5 3,4 3,5 4,5
920	0 5	0,4 0,5 1,4 1,5 2,3
921	0 6	0,4 0,5 1,4 1,5 2,3 4,5
922	1 6	0,4 0,5 1,4 1,5 2,3 3,5
923	1 7	0,4 0,5 1,4 1,5 2,3 3,5 4,5
926	1 7	0,4 0,5 1,4 1,5 2,3 2,5 3,5
927	1 8	0,4 0,5 1,4 1,5 2,3 2,5 3,5 4,5
954	1 7	0,4 0,5 1,4 1,5 2,3 3,4 3,5
955	1 8	0,4 0,5 1,4 1,5 2,3 3,4 3,5 4,5
956	1 7	0,4 0,5 1,4 1,5 2,3 2,5 3,4
957	1 8	0,4 0,5 1,4 1,5 2,3 2,5 3,4 4,5
958	1 8	0,4 0,5 1,4 1,5 2,3 2,5 3,4 3,5
959	1 9	0,4 0,5 1,4 1,5 2,3 2,5 3,4 3,5 4,5
1022	1 9	0,4 0,5 1,4 1,5 2,3 2,4 2,5 3,4 3,5
1023	1 10	0,4 0,5 1,4 1,5 2,3 2,4 2,5 3,4 3,5 4,5
1743	0 8	1,3 1,4 1,5 2,3 2,4 2,5 3,5 4,5
1749	1 7	0,5 1,3 1,4 2,3 2,4 2,5 4,5
1751	1 8	0,5 1,3 1,4 2,3 2,4 2,5 3,5 4,5
1759	1 9	0,5 1,3 1,4 1,5 2,3 2,4 2,5 3,5 4,5
